iter	RMSE
0	172.9845175
1	166.0264428
2	161.5983909
3	155.9555817
4	153.1717164
5	145.5637244
6	141.3896175
7	137.1989276
8	134.2909617
9	132.4417683
10	132.4417646
11	126.7750053
12	124.7543575
13	124.754347
14	121.5064794
15	119.915281
16	116.0538226
17	115.2407249
18	113.2163845
19	112.6087718
20	108.4284886
21	107.9846785
22	105.7204697
23	105.048363
24	104.2712039
25	103.7763055
26	102.2901999
27	101.7917691
28	98.84641443
29	96.57272441
30	96.57239652
31	95.42711644
32	94.88670306
33	94.09875416
34	91.95513674
35	91.13178319
36	91.1311168
37	89.61148351
38	89.53468057
39	87.58795917
40	86.66533005
41	86.56718357
42	86.16131495
43	86.11049836
44	84.91731494
45	82.38588597
46	82.08711567
47	81.1975722
48	78.77721678
49	77.68239969
50	76.32537031
51	76.2213865
52	75.83169383
53	75.8267613
54	75.22363076
55	73.83022101
56	72.27300909
57	71.83303002
58	70.88784277
59	70.88692617
60	70.21970685
61	69.78789954
62	68.41938696
63	68.41746268
64	68.3482748
65	68.05467182
66	68.02302094
67	67.51103934
68	67.42341329
69	66.70792071
70	65.86710258
71	65.17859788
72	64.64935326
73	63.46015488
74	62.9596594
75	62.9593346
76	62.2215281
77	61.48105422
78	60.19373571
79	59.7335443
80	58.36315439
81	58.29284591
82	57.92317953
83	56.71102156
84	56.71007083
85	55.95659204
86	55.67623972
87	55.08692175
88	54.46949447
89	54.44569958
90	53.79747385
91	52.85246436
92	52.4823219
93	52.15203323
94	51.46128157
95	51.35999627
96	51.04679963
97	50.58853302
98	50.26912872
99	49.68223428
100	49.66328139
101	49.59794511
102	49.1620987
103	49.16199107
104	48.79691611
105	48.33956655
106	48.07433003
107	47.98748816
108	47.91893546
109	47.65334293
110	47.54598779
111	47.11357214
112	47.06273567
113	46.98165207
114	46.75529861
115	46.58659648
116	46.32327833
117	46.10627652
118	45.81439667
119	45.81434539
120	45.81424187
121	45.6322248
122	45.59544956
123	44.88936937
124	44.66824732
125	44.50591745
126	44.06772214
127	43.65476236
128	43.44681209
129	43.24783388
130	43.13517995
131	43.11741249
132	42.95727985
133	42.95723044
134	42.71161389
135	42.51565459
136	42.03590648
137	41.97443016
138	41.48419781
139	41.32827383
140	41.29658455
141	41.23233835
142	41.01376033
143	41.01371999
144	41.0129792
145	40.77454023
146	40.49528093
147	40.27089648
148	39.96515275
149	39.71977745
150	39.66043197
151	39.65770119
152	39.23522397
153	39.11548657
154	38.96968061
155	38.83842863
156	38.51274197
157	38.48911895
158	38.3304444
159	38.3255964
160	38.2216311
161	38.06477449
162	38.04425971
163	37.70170521
164	37.67908636
165	37.61302098
166	37.43735305
167	37.34941141
168	37.19291782
169	36.77283006
170	36.63585798
171	36.35621825
172	36.23041621
173	36.07303952
174	35.96428013
175	35.89795466
176	35.73858111
177	35.712526
178	35.53001877
179	35.48838082
180	35.48816707
181	35.37428393
182	35.2378684
183	35.11958429
184	34.81181457
185	34.68145389
186	34.61178811
187	34.61043438
188	34.4890877
189	34.37972334
190	34.37970838
191	34.1089728
192	34.10892419
193	34.05393892
194	33.88286713
195	33.88285359
196	33.7937452
197	33.79374019
198	33.77823146
199	33.51281694
200	33.46834348
201	33.09860273
202	32.80836055
203	32.80832941
204	32.64276159
205	32.52717823
206	32.31965738
207	32.30742985
208	32.30739998
209	32.29462908
210	32.26733233
211	32.23801874
212	32.23800476
213	32.07964201
214	32.06672494
215	32.06672079
216	32.05907683
217	32.03674703
218	32.02704976
219	32.01691122
220	31.91974394
221	31.6755053
222	31.50107722
223	31.37938014
224	31.25996287
225	31.12794567
226	31.10299598
227	30.9360727
228	30.93237818
229	30.91840061
230	30.71434376
231	30.4209688
232	30.35156934
233	30.35060702
234	30.16385708
235	30.10273204
236	30.07931513
237	30.01123988
238	29.80262269
239	29.72207072
240	29.66088243
241	29.61043135
242	29.5925147
243	29.58944407
244	29.58571173
245	29.55565053
246	29.43164586
247	29.43161481
248	29.43160588
249	29.23033118
250	29.22815094
251	29.03940992
252	28.87807733
253	28.87750842
254	28.86487655
255	28.8315872
256	28.7277289
257	28.67015766
258	28.61206564
259	28.49040973
260	28.39048796
261	28.28562398
262	28.27800182
263	28.26838451
264	28.26636372
265	28.26636171
266	28.17195103
267	28.16921102
268	28.16207153
269	28.02912762
270	27.97290813
271	27.80438802
272	27.704947
273	27.70310902
274	27.70177839
275	27.55861813
276	27.44720679
277	27.33743181
278	27.24896927
279	27.21782868
280	27.21781986
281	27.21350616
282	27.14167912
283	27.13381075
284	27.12506266
285	26.94786217
286	26.85415058
287	26.82927985
288	26.8063183
289	26.51406312
290	26.48983382
291	26.482426
292	26.48135252
293	26.41126792
294	26.39434117
295	26.36709727
296	26.27807731
297	26.19199239
298	26.19130189
299	26.15923013
300	26.08728885
301	26.08728844
302	26.08557
303	26.08556973
304	26.05118635
305	26.05033773
306	26.05033681
307	26.04675318
308	25.95698415
309	25.86619331
310	25.81385674
311	25.80556072
312	25.80555891
313	25.69272228
314	25.69272115
315	25.49768536
316	25.4603781
317	25.43964249
318	25.39146289
319	25.37927308
320	25.27252386
321	25.26663983
322	25.25797081
323	25.08881417
324	25.05263543
325	25.05263371
326	25.0526323
327	25.00125195
328	24.88760918
329	24.87555409
330	24.86903141
331	24.80571136
332	24.80570925
333	24.80472256
334	24.79421666
335	24.79421253
336	24.70393749
337	24.70112359
338	24.61775161
339	24.61404264
340	24.56741734
341	24.49104593
342	24.32898395
343	24.32898383
344	24.32898374
345	24.16886222
346	24.08410289
347	23.94187153
348	23.90119214
349	23.81792388
350	23.65748997
351	23.65498768
352	23.56006628
353	23.52102632
354	23.45829122
355	23.31874525
356	23.31874058
357	23.23248547
358	23.20691422
359	23.20412961
360	23.10794383
361	23.00369172
362	22.96842963
363	22.96803391
364	22.94223377
365	22.91154526
366	22.87654244
367	22.8765422
368	22.87505876
369	22.85604078
370	22.79580685
371	22.78454949
372	22.7339328
373	22.71848574
374	22.69227041
375	22.69071606
376	22.69059728
377	22.69059718
378	22.57153143
379	22.54364226
380	22.44586422
381	22.43373561
382	22.43366672
383	22.35666957
384	22.2432784
385	22.20995006
386	22.20848884
387	22.14683477
