iter	RMSE
388	22.0697104
389	22.05533256
390	22.0059156
391	21.95903449
392	21.89433693
393	21.78706475
394	21.7258897
395	21.67682144
396	21.66562591
397	21.59794583
398	21.54164236
399	21.46960405
400	21.40892993
401	21.36046488
402	21.36045519
403	21.3583899
404	21.33471099
405	21.28438131
406	21.27575919
407	21.20671156
408	21.18215078
409	21.18214671
410	21.17514824
411	21.14787691
412	21.06984565
413	21.06530851
414	21.06186861
415	20.92149319
416	20.88349457
417	20.77015537
418	20.69438027
419	20.65150712
420	20.57148231
421	20.57146292
422	20.57073935
423	20.56945358
424	20.56757992
425	20.47486209
426	20.4618243
427	20.29005944
428	20.29005769
429	20.16668716
430	20.16668698
431	20.08576833
432	20.04412364
433	19.99139036
434	19.99052532
435	19.90152543
436	19.90152538
437	19.89550698
438	19.89300097
439	19.88508403
440	19.85044787
441	19.85044644
442	19.80376455
443	19.72900031
444	19.72899887
445	19.66633354
446	19.61084194
447	19.59613866
448	19.55466881
449	19.55380576
450	19.55295919
451	19.5529563
452	19.49982382
453	19.49982248
454	19.45352833
455	19.45174216
456	19.45102158
457	19.43527617
458	19.42069315
459	19.34603383
460	19.30737168
461	19.3073702
462	19.29136924
463	19.29050603
464	19.29050603
465	19.22154538
466	19.22154537
467	19.21034334
468	19.17009184
469	19.17009168
470	19.15147393
471	19.09301178
472	19.08718123
473	19.08024314
474	19.07744712
475	18.94548259
476	18.93401352
477	18.91975433
478	18.85698643
479	18.85503618
480	18.80145959
481	18.80101256
482	18.76596869
483	18.68475586
484	18.6391646
485	18.63916223
486	18.6061392
487	18.58324751
488	18.52882845
489	18.50445908
490	18.42535094
491	18.42535091
492	18.41967192
493	18.3374814
494	18.33697737
495	18.29356244
496	18.227925
497	18.18647481
498	18.1702084
499	18.16983838
500	18.15222172
501	18.14775838
502	18.14775782
503	18.066159
504	17.96841542
505	17.94396041
506	17.86625411
507	17.80013502
508	17.79611652
509	17.77142987
510	17.77020173
511	17.73524198
512	17.66965191
513	17.64332124
514	17.56175306
515	17.51663257
516	17.5071743
517	17.49364448
518	17.4314474
519	17.43144736
520	17.43090925
521	17.43009216
522	17.36970866
523	17.36919011
524	17.36917835
525	17.36708657
526	17.36533457
527	17.33881238
528	17.26507534
529	17.26022819
530	17.22925931
531	17.22886462
532	17.22886457
533	17.15545699
534	17.15545687
535	17.08423574
536	17.04923494
537	17.04378427
538	17.04315615
539	17.0421424
540	17.0086532
541	16.93923187
542	16.93319415
543	16.85489153
544	16.85345857
545	16.84619852
546	16.75761654
547	16.70836589
548	16.68570133
549	16.68542988
550	16.6820771
551	16.66861483
552	16.60547907
553	16.60547858
554	16.50521599
555	16.47479199
556	16.4735637
557	16.45561473
558	16.45515809
559	16.45468973
560	16.44144858
561	16.44034823
562	16.43850862
563	16.43676594
564	16.4360785
565	16.41247469
566	16.38593124
567	16.38034478
568	16.37341888
569	16.36603708
570	16.29879137
571	16.29876839
572	16.25443207
573	16.21685132
574	16.21653565
575	16.1824638
576	16.1804754
577	16.18039127
578	16.0864661
579	16.08473816
580	16.08366937
581	16.08366898
582	16.0250529
583	16.02485368
584	15.94987925
585	15.94383577
586	15.93483005
587	15.9254611
588	15.91475704
589	15.89186857
590	15.86471729
591	15.81530453
592	15.8055468
593	15.76152058
594	15.72995945
595	15.71638279
596	15.69316127
597	15.67410046
598	15.67250962
599	15.65885967
600	15.62164804
601	15.62164762
602	15.62011538
603	15.61845227
604	15.56647018
605	15.55723051
606	15.44721658
607	15.42580695
608	15.41875605
609	15.41524261
610	15.39265713
611	15.35507061
612	15.33137229
613	15.31349786
614	15.25386323
615	15.21463988
616	15.18056386
617	15.12267588
618	15.12267566
619	15.12223009
620	15.09835379
621	15.09833094
622	15.04548401
623	15.04546588
624	15.03995331
625	15.03850222
626	15.03850205
627	15.03190553
628	15.02905066
629	15.02905064
630	15.0243641
631	15.0036882
632	15.00367738
633	14.96496522
634	14.91672059
635	14.90299624
636	14.85300002
637	14.85299737
638	14.85299733
639	14.76491499
640	14.71083355
641	14.70861562
642	14.64291913
643	14.62890141
644	14.60494566
645	14.54780843
646	14.51661342
647	14.51661342
648	14.51661061
649	14.46828883
650	14.43900685
651	14.42714913
652	14.40568312
653	14.40568293
654	14.4022218
655	14.38956777
656	14.38956773
657	14.3895629
658	14.38956287
659	14.38909346
660	14.38909342
661	14.3812619
662	14.37911415
663	14.3785076
664	14.34774288
665	14.32044473
666	14.3204426
667	14.30063099
668	14.28060491
669	14.27629547
670	14.27301367
671	14.24770484
672	14.23998463
673	14.23874194
674	14.23874152
675	14.23402929
676	14.23401904
677	14.23401872
678	14.23016944
679	14.22279603
680	14.22279303
681	14.21662493
682	14.21630949
683	14.20786157
684	14.18970231
685	14.15413738
686	14.15413232
687	14.15390149
688	14.15052784
689	14.14381252
690	14.14381246
691	14.12399673
692	14.06316684
693	14.05007176
694	14.04832422
695	14.04832364
696	14.00934161
697	13.93705187
698	13.92854477
699	13.92854455
700	13.88699473
701	13.87560092
702	13.84142718
703	13.8217804
704	13.81940087
705	13.81940085
706	13.79992586
707	13.79786216
708	13.79786213
709	13.7953917
710	13.79080282
711	13.73207174
712	13.73113354
713	13.72033152
714	13.69558509
715	13.69498239
716	13.69498239
717	13.69498209
718	13.65114347
719	13.62577197
720	13.56182248
721	13.51930967
722	13.48196935
723	13.44341738
724	13.4187146
725	13.41871448
726	13.3697059
727	13.36013018
728	13.34578796
729	13.32988751
730	13.28160039
731	13.19758468
732	13.18393398
733	13.13644101
734	13.13472578
735	13.0962831
736	13.07050436
737	13.01569329
738	12.99431751
739	12.9942997
740	12.99429927
741	12.99390711
742	12.94880898
743	12.92755941
744	12.92242276
745	12.89248721
746	12.8924869
747	12.87029995
748	12.8507884
749	12.85011821
750	12.80967983
751	12.8096797
752	12.79800483
753	12.76366903
754	12.73975127
755	12.73739345
756	12.7190908
757	12.68517714
758	12.68400319
759	12.67787423
760	12.66784833
761	12.66751482
762	12.66751481
763	12.6662097
764	12.64491729
765	12.62772069
766	12.62165707
767	12.60840665
768	12.59566749
769	12.59566748
770	12.56239613
771	12.54592612
772	12.53339076
773	12.53295717
774	12.46236274
775	12.44533074
776	12.43087705
777	12.4308764
778	12.39072741
779	12.36509102
780	12.34525089
781	12.31795341
782	12.30733181
783	12.30685796
784	12.30685688
785	12.28858498
786	12.28850091
787	12.25926602
788	12.25896444
789	12.23964873
790	12.22744142
791	12.22352989
792	12.22164507
793	12.19203562
794	12.19042157
795	12.19041917
796	12.15737102
797	12.11725249
798	12.08224711
